Nome,Valor,Valor Compra,Data Compra,Status,Categoria
Gangorra Cavalinho,20.0,70.0,2022-08-06,Disponível,Tradicional
Cama elastica 244 Premium,150.0,1150.0,2025-10-13,Disponível,Tradicional
Piscina Clean,600.0,400.0,2025-10-13,Disponível,Montessori
G - Gangorra Pikler,0.0,500.0,2025-10-13,Disponível,Montessori
P - Boliche,0.0,120.0,2025-10-13,Disponível,Montessori
M - Gangorra cavalinho,0.0,108.0,2025-10-13,Disponível,Montessori
Cama Elastica 244 Basic,150.0,1149.0,2022-08-06,Disponível,Tradicional
Piscina de bolinhas 1 metro e meio 01,150.0,1099.0,2022-08-11,Disponível,Tradicional
Piscina de bolinhas 1 metro e meio 02,150.0,1099.0,2022-08-11,Disponível,Tradicional
Cama elastica 183m 01,120.0,879.0,2024-06-03,Disponível,Tradicional
Mesa Preta,25.0,76.0,2024-03-04,Disponível,Tradicional
Cadeira Preta,5.0,48.0,2024-03-04,Disponível,Tradicional
Mesa Air Game 163m,200.0,1700.0,2023-11-06,Disponível,Tradicional
Escorregador Plastico 01,50.0,179.0,2022-08-06,Disponível,Tradicional
Escorregador Plastico 02,50.0,100.0,2024-07-09,Disponível,Tradicional
Tombo Legal,300.0,3000.0,2024-09-01,Disponível,Tradicional
Gangorra Crocodilo,30.0,90.0,2024-09-01,Disponível,Tradicional
Tanque Jabuti,100.0,300.0,2024-09-01,Disponível,Tradicional
G - ⁠Arara de fantasias,0.0,60.0,2025-07-01,Disponível,Montessori
G - Carrinho de Sorvete,0.0,699.0,2025-07-01,Disponível,Montessori
G - Churrasqueira,0.0,397.0,2025-07-01,Disponível,Montessori
G - Feirinha,0.0,499.0,2025-07-01,Disponível,Montessori
G - ⁠Gangorra Pickler,0.0,217.0,2025-07-01,Disponível,Montessori
G - ⁠Geladeira,0.0,500.0,2025-01-01,Disponível,Montessori
G - ⁠Pia e fogão,0.0,800.0,2025-01-01,Disponível,Montessori
G - ⁠Triângulo Pickler,0.0,500.0,2025-01-01,Disponível,Montessori
G - ⁠Oficina de ferramentas,0.0,381.0,2025-07-01,Disponível,Montessori
⁠M - Andador multifuncional,0.0,450.0,2025-07-01,Disponível,Montessori
M - Carrinho de boneca,0.0,154.0,2025-07-01,Disponível,Montessori
M - Carrinho de mercado,0.0,78.0,2025-07-01,Disponível,Montessori
M - Escorregador,0.0,450.0,2025-07-01,Disponível,Montessori
M - ⁠Mesa de atividades,0.0,600.0,2025-07-01,Disponível,Montessori
M - Mini moto,0.0,180.0,2025-07-01,Disponível,Montessori
M - Cabana,0.0,150.0,2024-01-01,Disponível,Montessori
M - Lousa Magnética,0.0,260.0,2024-01-01,Disponível,Montessori
M - Mesinha,0.0,600.0,2024-01-01,Disponível,Montessori
M - Piscina de bolinhas 80 cm,0.0,100.0,2024-01-01,Disponível,Montessori
P - Brinquedo aramado,0.0,67.0,2024-01-01,Disponível,Montessori
P - Cubos de encaixe,0.0,45.0,2024-01-01,Disponível,Montessori
P - Kit médico,0.0,200.0,2024-01-01,Disponível,Montessori
P - Pelúcia,0.0,40.0,2024-01-01,Disponível,Montessori
P - Pizzaria,0.0,260.0,2024-01-01,Disponível,Montessori
P - Quebra cabeças,0.0,80.0,2024-01-01,Disponível,Montessori
P - Torre de equilíbrio,0.0,40.0,2024-01-01,Disponível,Montessori
P - Trator,0.0,260.0,2024-01-01,Disponível,Montessori
P - Xilofone,0.0,35.0,2024-01-01,Disponível,Montessori
P - ⁠Trenzinho,0.0,185.0,2025-07-01,Disponível,Montessori
P - ⁠Batedeira,0.0,161.0,2025-07-01,Disponível,Montessori
P - ⁠Blocos Arco iris,0.0,90.0,2025-07-01,Disponível,Montessori
P - ⁠Blocos de construção,0.0,45.0,2025-07-01,Disponível,Montessori
P - ⁠Blocos de equilíbrio,0.0,40.0,2025-07-01,Disponível,Montessori
M - Mini pebolim,0.0,160.0,2024-01-01,Disponível,Montessori
P - Bolo parabéns,0.0,200.0,2025-07-01,Disponível,Montessori
P - Boneca,0.0,154.0,2025-07-01,Disponível,Montessori
P - Cachorrinho,0.0,191.0,2025-07-01,Disponível,Montessori
P - Cafeteria,0.0,152.0,2025-07-01,Disponível,Montessori
P - Cai não cai fazendinha,0.0,80.0,2025-07-01,Disponível,Montessori
P - Caixa registradora,0.0,260.0,2025-07-01,Disponível,Montessori
P - Carro caixote de madeira,0.0,25.0,2025-07-01,Disponível,Montessori
P - Câmera,0.0,70.0,2025-07-01,Disponível,Montessori
P - Caminhãozinho gira gira,0.0,55.0,2025-07-01,Disponível,Montessori
P - ⁠Jogo de chá,0.0,250.0,2025-07-01,Disponível,Montessori
P - ⁠Kit bebidas,0.0,200.0,2025-07-01,Disponível,Montessori
P - ⁠Kit comidinhas,0.0,300.0,2025-07-01,Disponível,Montessori
P - ⁠Kit panelinhas,0.0,140.0,2025-07-01,Disponível,Montessori
P - ⁠Kit torradeira,0.0,160.0,2025-07-01,Disponível,Montessori
P - Postinho de combustível,0.0,200.0,2025-07-01,Disponível,Montessori
P - Torre de carrinho,0.0,200.0,2025-07-01,Disponível,Montessori
P - ⁠Torre de Cupcake,0.0,80.0,2025-07-01,Disponível,Montessori
M - Mesa Musical,0.0,200.0,2025-07-01,Disponível,Montessori
